Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,68 (34.0%),79 (39.5%),53 (26.5%),200
MCTS,OSLA,173 (86.5%),11 (5.5%),16 (8.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,9 (4.5%),171 (85.5%),20 (10.0%),200
OSLA,OSLA,93 (46.5%),75 (37.5%),32 (16.0%),200
OSLA,Rand,197 (98.5%),3 (1.5%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,1 (0.5%),199 (99.5%),0 (0.0%),200
Rand,Rand,112 (56.0%),87 (43.5%),1 (0.5%),200
Total,,853 (47.4%),825 (45.8%),122 (6.8%),1800
