Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,2 (1.0%),192 (96.0%),6 (3.0%),200
MCTS,OSLA,38 (19.0%),121 (60.5%),41 (20.5%),200
MCTS,Rand,198 (99.0%),2 (1.0%),0 (0.0%),200
OSLA,MCTS,0 (0.0%),198 (99.0%),2 (1.0%),200
OSLA,OSLA,11 (5.5%),170 (85.0%),19 (9.5%),200
OSLA,Rand,191 (95.5%),9 (4.5%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,35 (17.5%),165 (82.5%),0 (0.0%),200
Total,,475 (26.4%),1257 (69.8%),68 (3.8%),1800
