Player 1,Player 2,Total Pieces Left Player 1,Total Pieces Left Player 2,Total Pieces Left Draws,Average Total Pieces Left
MCTS,MCTS,2.5,7.47,4.33,7.33
MCTS,OSLA,2.45,9.31,6.78,7.49
MCTS,Rand,4.63,7.0,0.0,4.65
OSLA,MCTS,0.0,7.61,3.5,7.57
OSLA,OSLA,4.91,10.38,8.68,9.91
OSLA,Rand,4.87,7.78,0.0,5.0
Rand,MCTS,0.0,9.61,0.0,9.61
Rand,OSLA,0.0,10.57,0.0,10.57
Rand,Rand,3.11,7.95,0.0,7.1
Total,,2.25,7.77,2.33,6.92
