Player 1,Player 2,Average Duration Player 1,Average Duration Player 2,Average Duration Draws,Average Duration Total
MCTS,MCTS,64.97,67.78,125.17,81.7
MCTS,OSLA,61.7,55.27,111.85,66.36
MCTS,Rand,39.73,0.0,0.0,39.73
OSLA,MCTS,53.0,61.47,115.12,65.59
OSLA,OSLA,50.92,54.47,107.38,64.86
OSLA,Rand,39.35,0.0,0.0,39.35
Rand,MCTS,0.0,39.6,0.0,39.6
Rand,OSLA,0.0,39.13,0.0,39.13
Rand,Rand,50.55,48.44,0.0,49.62
Total,,36.02,36.62,45.95,48.6
