Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,71 (35.5%),77 (38.5%),52 (26.0%),200
MCTS,OSLA,169 (84.5%),11 (5.5%),20 (10.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,4 (2.0%),180 (90.0%),16 (8.0%),200
OSLA,OSLA,85 (42.5%),70 (35.0%),45 (22.5%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,112 (56.0%),88 (44.0%),0 (0.0%),200
Total,,841 (46.7%),826 (45.9%),133 (7.4%),1800
