Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,103 (51.5%),40 (20.0%),57 (28.5%),200
MCTS,OSLA,181 (90.5%),7 (3.5%),12 (6.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,22 (11.0%),155 (77.5%),23 (11.5%),200
OSLA,OSLA,110 (55.0%),52 (26.0%),38 (19.0%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,1 (0.5%),199 (99.5%),0 (0.0%),200
Rand,Rand,136 (68.0%),64 (32.0%),0 (0.0%),200
Total,,953 (52.9%),717 (39.8%),130 (7.2%),1800
