Player 1,Player 2,Total Pieces Left Player 1,Total Pieces Left Player 2,Total Pieces Left Draws,Average Total Pieces Left
MCTS,MCTS,4.66,4.5,3.62,4.3
MCTS,OSLA,5.4,6.56,5.56,5.51
MCTS,Rand,7.53,0.0,0.0,7.53
OSLA,MCTS,7.0,5.23,5.39,5.33
OSLA,OSLA,10.07,9.39,8.79,9.62
OSLA,Rand,8.61,0.0,0.0,8.61
Rand,MCTS,0.0,7.71,0.0,7.71
Rand,OSLA,0.0,8.81,0.0,8.81
Rand,Rand,5.33,5.28,0.0,5.3
Total,,4.86,4.75,2.34,6.27
