GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player,PlayerType-1,ActionClass,PlayerType-0,ActionDescription,PiecesLeft-1,ActionSize,PiecesLeft-0
-328946800,Checkers,0,ACTION_TAKEN,21,21,2,698,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [2,1] to [4,3]",7,9,9
-328946800,Checkers,0,ACTION_TAKEN,22,22,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [2,3] to [3,2]",7,11,9
-328946800,Checkers,0,ACTION_TAKEN,23,23,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [4,3] to [3,4]",7,9,9
-328946800,Checkers,0,ACTION_TAKEN,24,24,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,7] to [1,6]",7,13,9
-328946800,Checkers,0,ACTION_TAKEN,25,25,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,1] to [1,2]",7,9,9
-328946800,Checkers,0,ACTION_TAKEN,26,26,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,6] to [4,5]",7,1,9
-328946800,Checkers,0,ACTION_TAKEN,27,27,2,698,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [5,4] to [3,6]",6,2,9
-328946800,Checkers,0,ACTION_TAKEN,28,28,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [2,7] to [4,5]",6,1,8
-328946800,Checkers,0,ACTION_TAKEN,29,29,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [4,5] to [2,3]",6,1,7
-328946800,Checkers,0,ACTION_TAKEN,30,30,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [2,3] to [0,1]",6,8,6
-328946800,Checkers,0,ACTION_TAKEN,31,31,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,3] to [1,4]",6,8,6
-328946800,Checkers,0,ACTION_TAKEN,32,32,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,7] to [7,6]",6,9,6
-328946800,Checkers,0,ACTION_TAKEN,33,33,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [1,4] to [0,5]",6,7,6
-328946800,Checkers,0,ACTION_TAKEN,34,34,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [1,6] to [2,5]",6,8,6
-328946800,Checkers,0,ACTION_TAKEN,35,35,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,5] to [1,6]",6,8,6
-328946800,Checkers,0,ACTION_TAKEN,36,36,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [2,5] to [3,4]",6,9,6
-328946800,Checkers,0,ACTION_TAKEN,37,37,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [1,6] to [0,7]",6,8,6
-328946800,Checkers,0,ACTION_TAKEN,38,38,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,4] to [2,3]",6,11,6
-328946800,Checkers,0,ACTION_TAKEN,39,39,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,7] to [3,4]",6,7,6
-328946800,Checkers,0,ACTION_TAKEN,40,40,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [2,3] to [1,2]",6,1,6
-328946800,Checkers,0,ACTION_TAKEN,41,41,2,698,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [3,4] to [6,7]",5,6,6
-328946800,Checkers,0,ACTION_TAKEN,42,42,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [4,7] to [3,6]",5,11,6
-328946800,Checkers,0,ACTION_TAKEN,43,43,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,7] to [2,3]",5,6,6
-328946800,Checkers,0,ACTION_TAKEN,44,44,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,2] to [2,1]",5,1,6
-328946800,Checkers,0,ACTION_TAKEN,45,45,2,698,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [1,0] to [3,2]",4,5,6
-328946800,Checkers,0,ACTION_TAKEN,46,46,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [1,2] to [2,1]",4,14,6
-328946800,Checkers,0,ACTION_TAKEN,47,47,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [2,3] to [1,2]",4,6,6
-328946800,Checkers,0,ACTION_TAKEN,48,48,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [2,1] to [3,0]",4,15,6
-328946800,Checkers,0,ACTION_TAKEN,49,49,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [7,2] to [6,3]",4,1,6
-328946800,Checkers,0,ACTION_TAKEN,50,50,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [3,0] to [0,3]",4,8,5
-328946800,Checkers,0,ACTION_TAKEN,51,51,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,3] to [5,4]",4,9,5
-328946800,Checkers,0,ACTION_TAKEN,52,52,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,6] to [2,5]",4,9,5
-328946800,Checkers,0,ACTION_TAKEN,53,53,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,2] to [2,3]",4,8,5
-328946800,Checkers,0,ACTION_TAKEN,54,54,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,3] to [1,2]",4,9,5
-328946800,Checkers,0,ACTION_TAKEN,55,55,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [5,4] to [6,5]",4,5,5
-328946800,Checkers,0,ACTION_TAKEN,56,56,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [1,2] to [4,5]",4,6,4
-328946800,Checkers,0,ACTION_TAKEN,57,57,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [5,2] to [6,3]",4,2,4
-328946800,Checkers,0,ACTION_TAKEN,58,58,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [7,6] to [5,4]",4,1,3
-328946800,Checkers,0,ACTION_TAKEN,59,59,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [5,4] to [7,2]",4,3,2
-328946800,Checkers,0,ACTION_TAKEN,60,60,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [7,0] to [6,1]",4,12,2
-328946800,Checkers,0,ACTION_TAKEN,61,61,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [0,1] to [1,0]",4,2,2
-328946800,Checkers,0,ACTION_TAKEN,62,62,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,1] to [5,2]",4,20,2
-328946800,Checkers,0,ACTION_TAKEN,63,63,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [4,5] to [6,7]",4,4,2
-328946800,Checkers,0,ACTION_TAKEN,64,64,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [5,0] to [4,1]",4,17,2
-328946800,Checkers,0,ACTION_TAKEN,65,65,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [2,5] to [1,4]",4,3,2
-328946800,Checkers,0,ACTION_TAKEN,66,66,2,698,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [5,2] to [6,3]",4,17,2
-328946800,Checkers,0,ACTION_TAKEN,67,67,2,698,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [1,0] to [5,4]",4,1,2
-328946800,Checkers,0,ACTION_TAKEN,68,68,2,698,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [6,3] to [4,5]",3,4,2
-328946800,Checkers,0,ACTION_TAKEN,69,69,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [6,7] to [2,3]",3,1,1
-328946800,Checkers,0,ACTION_TAKEN,70,69,2,698,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [2,3] to [5,0]",3,1,0
-1002439119,Checkers,0,ACTION_TAKEN,1,1,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [5,2] to [6,3]",11,7,12
-1002439119,Checkers,0,ACTION_TAKEN,2,2,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [4,5] to [3,4]",11,8,12
-1002439119,Checkers,0,ACTION_TAKEN,3,3,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,2] to [2,3]",11,7,12
-1002439119,Checkers,0,ACTION_TAKEN,4,4,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,4] to [4,3]",11,9,12
-1002439119,Checkers,0,ACTION_TAKEN,5,5,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [4,1] to [3,2]",11,8,12
-1002439119,Checkers,0,ACTION_TAKEN,6,6,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [5,6] to [6,5]",11,1,12
