Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,60 (30.0%),101 (50.5%),39 (19.5%),200
MCTS,OSLA,133 (66.5%),32 (16.0%),35 (17.5%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,2 (1.0%),189 (94.5%),9 (4.5%),200
OSLA,OSLA,55 (27.5%),121 (60.5%),24 (12.0%),200
OSLA,Rand,198 (99.0%),2 (1.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,85 (42.5%),115 (57.5%),0 (0.0%),200
Total,,733 (40.7%),960 (53.3%),107 (5.9%),1800
