Player 1,Player 2,Average Duration Player 1,Average Duration Player 2,Average Duration Draws,Average Duration Total
MCTS,MCTS,64.56,76.51,127.94,78.34
MCTS,OSLA,60.77,58.25,106.22,62.77
MCTS,Rand,40.72,0.0,0.0,40.72
OSLA,MCTS,55.26,66.92,118.4,73.3
OSLA,OSLA,53.58,56.26,118.0,64.17
OSLA,Rand,39.17,0.0,0.0,39.17
Rand,MCTS,0.0,44.46,0.0,44.46
Rand,OSLA,71.0,44.38,0.0,44.51
Rand,Rand,48.57,54.73,0.0,50.85
Total,,43.36,40.15,47.06,49.83
