Player 1,Player 2,Average Duration Player 1,Average Duration Player 2,Average Duration Draws,Average Duration Total
MCTS,MCTS,55.99,52.53,98.95,67.19
MCTS,OSLA,46.3,40.67,103.12,50.68
MCTS,Rand,32.16,0.0,0.0,32.16
OSLA,MCTS,45.57,43.98,101.07,48.03
OSLA,OSLA,36.31,37.45,94.0,49.24
OSLA,Rand,33.67,35.0,0.0,33.67
Rand,MCTS,0.0,32.13,0.0,32.13
Rand,OSLA,0.0,32.0,0.0,32.0
Rand,Rand,41.73,39.42,0.0,40.7
Total,,29.17,31.32,39.71,38.58
