Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,69 (34.5%),73 (36.5%),58 (29.0%),200
MCTS,OSLA,178 (89.0%),6 (3.0%),16 (8.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,7 (3.5%),179 (89.5%),14 (7.0%),200
OSLA,OSLA,64 (32.0%),93 (46.5%),43 (21.5%),200
OSLA,Rand,199 (99.5%),1 (0.5%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,111 (55.5%),89 (44.5%),0 (0.0%),200
Total,,828 (46.0%),841 (46.7%),131 (7.3%),1800
