Player 1,Player 2,Total Pieces Left Player 1,Total Pieces Left Player 2,Total Pieces Left Draws,Average Total Pieces Left
MCTS,MCTS,3.43,3.6,3.64,3.56
MCTS,OSLA,4.42,5.17,4.38,4.43
MCTS,Rand,5.92,0.0,0.0,5.92
OSLA,MCTS,5.0,4.61,4.0,4.58
OSLA,OSLA,7.8,7.59,6.67,7.46
OSLA,Rand,6.59,4.0,0.0,6.58
Rand,MCTS,0.0,6.09,0.0,6.09
Rand,OSLA,0.0,6.86,0.0,6.86
Rand,Rand,3.79,4.51,0.0,4.11
Total,,3.69,4.24,1.87,4.96
