Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,185 (92.5%),5 (2.5%),10 (5.0%),200
MCTS,OSLA,195 (97.5%),1 (0.5%),4 (2.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,130 (65.0%),31 (15.5%),39 (19.5%),200
OSLA,OSLA,162 (81.0%),7 (3.5%),31 (15.5%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,3 (1.5%),197 (98.5%),0 (0.0%),200
Rand,OSLA,10 (5.0%),190 (95.0%),0 (0.0%),200
Rand,Rand,161 (80.5%),39 (19.5%),0 (0.0%),200
Total,,1246 (69.2%),470 (26.1%),84 (4.7%),1800
