GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,PlayerName-1
1819665677,Checkers,0,GAME_OVER,66,65,2,61,MCTS_v0,1.0,-1.0,MCTS_v0
-637206492,Checkers,0,GAME_OVER,53,52,2,62,MCTS_v0,1.0,-1.0,MCTS_v0
-1276350868,Checkers,0,GAME_OVER,92,91,2,63,MCTS_v0,1.0,-1.0,MCTS_v0
1754428734,Checkers,0,GAME_OVER,105,104,2,64,MCTS_v0,0.0,0.0,MCTS_v0
-1080127968,Checkers,0,GAME_OVER,149,148,2,65,MCTS_v0,0.0,0.0,MCTS_v0
-989258891,Checkers,0,GAME_OVER,53,52,2,66,MCTS_v0,-1.0,1.0,MCTS_v0
2055722176,Checkers,0,GAME_OVER,111,110,2,67,MCTS_v0,0.0,0.0,MCTS_v0
1319056622,Checkers,0,GAME_OVER,125,124,2,68,MCTS_v0,0.0,0.0,MCTS_v0
-287315935,Checkers,0,GAME_OVER,122,121,2,69,MCTS_v0,0.0,0.0,MCTS_v0
-1558049496,Checkers,0,GAME_OVER,119,118,2,70,MCTS_v0,0.0,0.0,MCTS_v0
-501417331,Checkers,0,GAME_OVER,60,59,2,71,MCTS_v0,-1.0,1.0,MCTS_v0
-507071096,Checkers,0,GAME_OVER,50,49,2,72,MCTS_v0,1.0,-1.0,MCTS_v0
1104875750,Checkers,0,GAME_OVER,51,50,2,73,MCTS_v0,1.0,-1.0,MCTS_v0
1186004411,Checkers,0,GAME_OVER,133,132,2,74,MCTS_v0,0.0,0.0,MCTS_v0
-149885685,Checkers,0,GAME_OVER,58,57,2,75,MCTS_v0,1.0,-1.0,MCTS_v0
-663816926,Checkers,0,GAME_OVER,183,182,2,76,MCTS_v0,0.0,0.0,MCTS_v0
-1494731730,Checkers,0,GAME_OVER,58,57,2,77,MCTS_v0,-1.0,1.0,MCTS_v0
737900519,Checkers,0,GAME_OVER,79,78,2,78,MCTS_v0,-1.0,1.0,MCTS_v0
977310984,Checkers,0,GAME_OVER,53,52,2,79,MCTS_v0,1.0,-1.0,MCTS_v0
1803067759,Checkers,0,GAME_OVER,76,75,2,80,MCTS_v0,-1.0,1.0,MCTS_v0
347363335,Checkers,0,GAME_OVER,55,54,2,81,MCTS_v0,1.0,-1.0,MCTS_v0
-215136454,Checkers,0,GAME_OVER,62,61,2,82,MCTS_v0,1.0,-1.0,MCTS_v0
-902466581,Checkers,0,GAME_OVER,167,166,2,83,MCTS_v0,1.0,-1.0,MCTS_v0
-80401799,Checkers,0,GAME_OVER,117,116,2,84,MCTS_v0,-1.0,1.0,MCTS_v0
834997104,Checkers,0,GAME_OVER,119,118,2,85,MCTS_v0,0.0,0.0,MCTS_v0
964766691,Checkers,0,GAME_OVER,55,54,2,86,MCTS_v0,1.0,-1.0,MCTS_v0
175811828,Checkers,0,GAME_OVER,56,55,2,87,MCTS_v0,-1.0,1.0,MCTS_v0
933153933,Checkers,0,GAME_OVER,107,106,2,88,MCTS_v0,1.0,-1.0,MCTS_v0
-1841964226,Checkers,0,GAME_OVER,46,45,2,89,MCTS_v0,1.0,-1.0,MCTS_v0
-1809811508,Checkers,0,GAME_OVER,57,56,2,90,MCTS_v0,-1.0,1.0,MCTS_v0
-2107449656,Checkers,0,GAME_OVER,53,52,2,91,MCTS_v0,-1.0,1.0,MCTS_v0
-1179466379,Checkers,0,GAME_OVER,68,67,2,92,MCTS_v0,1.0,-1.0,MCTS_v0
853389635,Checkers,0,GAME_OVER,59,58,2,93,MCTS_v0,-1.0,1.0,MCTS_v0
2142693614,Checkers,0,GAME_OVER,56,55,2,94,MCTS_v0,-1.0,1.0,MCTS_v0
-762080980,Checkers,0,GAME_OVER,70,69,2,95,MCTS_v0,-1.0,1.0,MCTS_v0
-48420628,Checkers,0,GAME_OVER,111,110,2,96,MCTS_v0,0.0,0.0,MCTS_v0
-1689747029,Checkers,0,GAME_OVER,111,110,2,97,MCTS_v0,0.0,0.0,MCTS_v0
-1179036449,Checkers,0,GAME_OVER,47,46,2,98,MCTS_v0,-1.0,1.0,MCTS_v0
-1162659056,Checkers,0,GAME_OVER,53,52,2,99,MCTS_v0,-1.0,1.0,MCTS_v0
677972046,Checkers,0,GAME_OVER,50,49,2,100,MCTS_v0,-1.0,1.0,MCTS_v0
265546409,Checkers,0,GAME_OVER,48,47,2,101,MCTS_v0,1.0,-1.0,MCTS_v0
-1322059345,Checkers,0,GAME_OVER,104,103,2,102,MCTS_v0,-1.0,1.0,MCTS_v0
-219994929,Checkers,0,GAME_OVER,105,104,2,103,MCTS_v0,1.0,-1.0,MCTS_v0
-1243684465,Checkers,0,GAME_OVER,62,61,2,104,MCTS_v0,1.0,-1.0,MCTS_v0
822323795,Checkers,0,GAME_OVER,134,133,2,105,MCTS_v0,0.0,0.0,MCTS_v0
-1512667147,Checkers,0,GAME_OVER,55,54,2,106,MCTS_v0,-1.0,1.0,MCTS_v0
1467919029,Checkers,0,GAME_OVER,104,103,2,107,MCTS_v0,0.0,0.0,MCTS_v0
-1285125779,Checkers,0,GAME_OVER,52,51,2,108,MCTS_v0,1.0,-1.0,MCTS_v0
655167179,Checkers,0,GAME_OVER,60,59,2,109,MCTS_v0,1.0,-1.0,MCTS_v0
307051044,Checkers,0,GAME_OVER,54,53,2,110,MCTS_v0,-1.0,1.0,MCTS_v0
-1792171071,Checkers,0,GAME_OVER,98,97,2,111,MCTS_v0,1.0,-1.0,MCTS_v0
1130431721,Checkers,0,GAME_OVER,58,57,2,112,MCTS_v0,1.0,-1.0,MCTS_v0
141046815,Checkers,0,GAME_OVER,46,45,2,113,MCTS_v0,-1.0,1.0,OSLA
1529192250,Checkers,0,GAME_OVER,69,68,2,114,MCTS_v0,-1.0,1.0,OSLA
-1245133560,Checkers,0,GAME_OVER,41,40,2,115,MCTS_v0,-1.0,1.0,OSLA
1583536197,Checkers,0,GAME_OVER,63,62,2,116,MCTS_v0,-1.0,1.0,OSLA
1460285864,Checkers,0,GAME_OVER,59,58,2,117,MCTS_v0,-1.0,1.0,OSLA
-1299888252,Checkers,0,GAME_OVER,63,62,2,118,MCTS_v0,-1.0,1.0,OSLA
-2014252420,Checkers,0,GAME_OVER,51,50,2,119,MCTS_v0,-1.0,1.0,OSLA
260109276,Checkers,0,GAME_OVER,45,44,2,120,MCTS_v0,-1.0,1.0,OSLA
1682508500,Checkers,0,GAME_OVER,49,48,2,121,MCTS_v0,-1.0,1.0,OSLA
-1693876026,Checkers,0,GAME_OVER,78,77,2,122,MCTS_v0,-1.0,1.0,OSLA
-1812849886,Checkers,0,GAME_OVER,76,75,2,123,MCTS_v0,-1.0,1.0,OSLA
-1650375663,Checkers,0,GAME_OVER,47,46,2,124,MCTS_v0,-1.0,1.0,OSLA
1372985835,Checkers,0,GAME_OVER,59,58,2,125,MCTS_v0,-1.0,1.0,OSLA
-1644275095,Checkers,0,GAME_OVER,51,50,2,126,MCTS_v0,-1.0,1.0,OSLA
1719698715,Checkers,0,GAME_OVER,136,135,2,127,MCTS_v0,0.0,0.0,OSLA
-150356753,Checkers,0,GAME_OVER,54,53,2,128,MCTS_v0,-1.0,1.0,OSLA
2115692229,Checkers,0,GAME_OVER,54,53,2,129,MCTS_v0,-1.0,1.0,OSLA
-814560721,Checkers,0,GAME_OVER,62,61,2,130,MCTS_v0,-1.0,1.0,OSLA
-585444453,Checkers,0,GAME_OVER,42,41,2,131,MCTS_v0,-1.0,1.0,OSLA
-16236752,Checkers,0,GAME_OVER,133,132,2,132,MCTS_v0,-1.0,1.0,OSLA
-1034164578,Checkers,0,GAME_OVER,61,60,2,133,MCTS_v0,-1.0,1.0,OSLA
718066038,Checkers,0,GAME_OVER,55,54,2,134,MCTS_v0,-1.0,1.0,OSLA
-45548325,Checkers,0,GAME_OVER,62,61,2,135,MCTS_v0,-1.0,1.0,OSLA
430606631,Checkers,0,GAME_OVER,54,53,2,136,MCTS_v0,-1.0,1.0,OSLA
-56171220,Checkers,0,GAME_OVER,58,57,2,137,MCTS_v0,-1.0,1.0,OSLA
-1239141700,Checkers,0,GAME_OVER,139,138,2,138,MCTS_v0,0.0,0.0,OSLA
1325411156,Checkers,0,GAME_OVER,50,49,2,139,MCTS_v0,-1.0,1.0,OSLA
411685344,Checkers,0,GAME_OVER,55,54,2,140,MCTS_v0,-1.0,1.0,OSLA
219572979,Checkers,0,GAME_OVER,62,61,2,141,MCTS_v0,-1.0,1.0,OSLA
324303717,Checkers,0,GAME_OVER,54,53,2,142,MCTS_v0,-1.0,1.0,OSLA
-825819607,Checkers,0,GAME_OVER,59,58,2,143,MCTS_v0,-1.0,1.0,OSLA
-384667004,Checkers,0,GAME_OVER,56,55,2,144,MCTS_v0,-1.0,1.0,OSLA
1286911191,Checkers,0,GAME_OVER,47,46,2,145,MCTS_v0,-1.0,1.0,OSLA
-1652595268,Checkers,0,GAME_OVER,56,55,2,146,MCTS_v0,-1.0,1.0,OSLA
1979243748,Checkers,0,GAME_OVER,50,49,2,147,MCTS_v0,-1.0,1.0,OSLA
1481785858,Checkers,0,GAME_OVER,93,92,2,148,MCTS_v0,-1.0,1.0,OSLA
98439411,Checkers,0,GAME_OVER,48,47,2,149,MCTS_v0,-1.0,1.0,OSLA
1975834423,Checkers,0,GAME_OVER,78,77,2,150,MCTS_v0,-1.0,1.0,OSLA
1379816037,Checkers,0,GAME_OVER,68,67,2,151,MCTS_v0,-1.0,1.0,OSLA
-1545697556,Checkers,0,GAME_OVER,49,48,2,152,MCTS_v0,-1.0,1.0,OSLA
1940632744,Checkers,0,GAME_OVER,59,58,2,153,MCTS_v0,-1.0,1.0,OSLA
-226099458,Checkers,0,GAME_OVER,89,88,2,154,MCTS_v0,-1.0,1.0,OSLA
-868506858,Checkers,0,GAME_OVER,43,42,2,155,MCTS_v0,-1.0,1.0,OSLA
-49503330,Checkers,0,GAME_OVER,97,96,2,156,MCTS_v0,0.0,0.0,OSLA
1961713655,Checkers,0,GAME_OVER,44,43,2,157,MCTS_v0,-1.0,1.0,OSLA
-2049091410,Checkers,0,GAME_OVER,77,76,2,158,MCTS_v0,-1.0,1.0,OSLA
534123107,Checkers,0,GAME_OVER,72,71,2,159,MCTS_v0,-1.0,1.0,OSLA
-1715019612,Checkers,0,GAME_OVER,60,59,2,160,MCTS_v0,-1.0,1.0,OSLA
818504211,Checkers,0,GAME_OVER,71,70,2,161,MCTS_v0,-1.0,1.0,OSLA
709728089,Checkers,0,GAME_OVER,80,79,2,162,MCTS_v0,-1.0,1.0,OSLA
-377255063,Checkers,0,GAME_OVER,66,65,2,163,MCTS_v0,-1.0,1.0,OSLA
251197789,Checkers,0,GAME_OVER,64,63,2,164,MCTS_v0,-1.0,1.0,OSLA
-58731727,Checkers,0,GAME_OVER,43,42,2,165,MCTS_v0,-1.0,1.0,OSLA
-1002062639,Checkers,0,GAME_OVER,78,77,2,166,MCTS_v0,-1.0,1.0,OSLA
-1021337363,Checkers,0,GAME_OVER,70,69,2,167,MCTS_v0,-1.0,1.0,OSLA
36064987,Checkers,0,GAME_OVER,82,81,2,168,MCTS_v0,-1.0,1.0,OSLA
-1941497949,Checkers,0,GAME_OVER,52,51,2,169,MCTS_v0,1.0,-1.0,OSLA
1010360613,Checkers,0,GAME_OVER,66,65,2,170,MCTS_v0,-1.0,1.0,OSLA
586946703,Checkers,0,GAME_OVER,127,126,2,171,MCTS_v0,-1.0,1.0,OSLA
1819665677,Checkers,0,GAME_OVER,52,51,2,172,MCTS_v0,-1.0,1.0,OSLA
-637206492,Checkers,0,GAME_OVER,52,51,2,173,MCTS_v0,-1.0,1.0,OSLA
-1276350868,Checkers,0,GAME_OVER,87,86,2,174,MCTS_v0,-1.0,1.0,OSLA
1754428734,Checkers,0,GAME_OVER,73,72,2,175,MCTS_v0,1.0,-1.0,OSLA
-1080127968,Checkers,0,GAME_OVER,57,56,2,176,MCTS_v0,-1.0,1.0,OSLA
-989258891,Checkers,0,GAME_OVER,67,66,2,177,MCTS_v0,-1.0,1.0,OSLA
2055722176,Checkers,0,GAME_OVER,55,54,2,178,MCTS_v0,-1.0,1.0,OSLA
1319056622,Checkers,0,GAME_OVER,50,49,2,179,MCTS_v0,-1.0,1.0,OSLA
-287315935,Checkers,0,GAME_OVER,99,98,2,180,MCTS_v0,0.0,0.0,OSLA
-1558049496,Checkers,0,GAME_OVER,40,39,2,181,MCTS_v0,-1.0,1.0,OSLA
-501417331,Checkers,0,GAME_OVER,96,95,2,182,MCTS_v0,-1.0,1.0,OSLA
-507071096,Checkers,0,GAME_OVER,85,84,2,183,MCTS_v0,-1.0,1.0,OSLA
1104875750,Checkers,0,GAME_OVER,53,52,2,184,MCTS_v0,-1.0,1.0,OSLA
1186004411,Checkers,0,GAME_OVER,42,41,2,185,MCTS_v0,-1.0,1.0,OSLA
-149885685,Checkers,0,GAME_OVER,55,54,2,186,MCTS_v0,-1.0,1.0,OSLA
-663816926,Checkers,0,GAME_OVER,49,48,2,187,MCTS_v0,-1.0,1.0,OSLA
-1494731730,Checkers,0,GAME_OVER,61,60,2,188,MCTS_v0,1.0,-1.0,OSLA
737900519,Checkers,0,GAME_OVER,54,53,2,189,MCTS_v0,1.0,-1.0,OSLA
977310984,Checkers,0,GAME_OVER,54,53,2,190,MCTS_v0,-1.0,1.0,OSLA
1803067759,Checkers,0,GAME_OVER,65,64,2,191,MCTS_v0,-1.0,1.0,OSLA
347363335,Checkers,0,GAME_OVER,53,52,2,192,MCTS_v0,-1.0,1.0,OSLA
-215136454,Checkers,0,GAME_OVER,75,74,2,193,MCTS_v0,-1.0,1.0,OSLA
-902466581,Checkers,0,GAME_OVER,44,43,2,194,MCTS_v0,-1.0,1.0,OSLA
-80401799,Checkers,0,GAME_OVER,73,72,2,195,MCTS_v0,-1.0,1.0,OSLA
834997104,Checkers,0,GAME_OVER,72,71,2,196,MCTS_v0,-1.0,1.0,OSLA
964766691,Checkers,0,GAME_OVER,62,61,2,197,MCTS_v0,-1.0,1.0,OSLA
175811828,Checkers,0,GAME_OVER,55,54,2,198,MCTS_v0,-1.0,1.0,OSLA
933153933,Checkers,0,GAME_OVER,61,60,2,199,MCTS_v0,-1.0,1.0,OSLA
-1841964226,Checkers,0,GAME_OVER,66,65,2,200,MCTS_v0,-1.0,1.0,OSLA
-1809811508,Checkers,0,GAME_OVER,54,53,2,201,MCTS_v0,1.0,-1.0,OSLA
-2107449656,Checkers,0,GAME_OVER,103,102,2,202,MCTS_v0,1.0,-1.0,OSLA
-1179466379,Checkers,0,GAME_OVER,39,38,2,203,MCTS_v0,-1.0,1.0,OSLA
853389635,Checkers,0,GAME_OVER,76,75,2,204,MCTS_v0,-1.0,1.0,OSLA
2142693614,Checkers,0,GAME_OVER,64,63,2,205,MCTS_v0,-1.0,1.0,OSLA
-762080980,Checkers,0,GAME_OVER,58,57,2,206,MCTS_v0,-1.0,1.0,OSLA
-48420628,Checkers,0,GAME_OVER,45,44,2,207,MCTS_v0,-1.0,1.0,OSLA
-1689747029,Checkers,0,GAME_OVER,80,79,2,208,MCTS_v0,-1.0,1.0,OSLA
-1179036449,Checkers,0,GAME_OVER,112,111,2,209,MCTS_v0,0.0,0.0,OSLA
-1162659056,Checkers,0,GAME_OVER,43,42,2,210,MCTS_v0,-1.0,1.0,OSLA
677972046,Checkers,0,GAME_OVER,56,55,2,211,MCTS_v0,-1.0,1.0,OSLA
265546409,Checkers,0,GAME_OVER,60,59,2,212,MCTS_v0,-1.0,1.0,OSLA
-1322059345,Checkers,0,GAME_OVER,69,68,2,213,MCTS_v0,-1.0,1.0,OSLA
-219994929,Checkers,0,GAME_OVER,110,109,2,214,MCTS_v0,0.0,0.0,OSLA
-1243684465,Checkers,0,GAME_OVER,63,62,2,215,MCTS_v0,-1.0,1.0,OSLA
822323795,Checkers,0,GAME_OVER,45,44,2,216,MCTS_v0,-1.0,1.0,OSLA
-1512667147,Checkers,0,GAME_OVER,62,61,2,217,MCTS_v0,1.0,-1.0,OSLA
1467919029,Checkers,0,GAME_OVER,92,91,2,218,MCTS_v0,0.0,0.0,OSLA
-1285125779,Checkers,0,GAME_OVER,55,54,2,219,MCTS_v0,1.0,-1.0,OSLA
655167179,Checkers,0,GAME_OVER,50,49,2,220,MCTS_v0,-1.0,1.0,OSLA
307051044,Checkers,0,GAME_OVER,48,47,2,221,MCTS_v0,-1.0,1.0,OSLA
-1792171071,Checkers,0,GAME_OVER,87,86,2,222,MCTS_v0,-1.0,1.0,OSLA
1130431721,Checkers,0,GAME_OVER,45,44,2,223,MCTS_v0,-1.0,1.0,OSLA
141046815,Checkers,0,GAME_OVER,45,44,2,224,MCTS_v0,-1.0,1.0,Random
1529192250,Checkers,0,GAME_OVER,48,47,2,225,MCTS_v0,-1.0,1.0,Random
-1245133560,Checkers,0,GAME_OVER,45,44,2,226,MCTS_v0,-1.0,1.0,Random
1583536197,Checkers,0,GAME_OVER,49,48,2,227,MCTS_v0,-1.0,1.0,Random
1460285864,Checkers,0,GAME_OVER,48,47,2,228,MCTS_v0,-1.0,1.0,Random
-1299888252,Checkers,0,GAME_OVER,37,36,2,229,MCTS_v0,-1.0,1.0,Random
-2014252420,Checkers,0,GAME_OVER,50,49,2,230,MCTS_v0,-1.0,1.0,Random
260109276,Checkers,0,GAME_OVER,48,47,2,231,MCTS_v0,-1.0,1.0,Random
1682508500,Checkers,0,GAME_OVER,37,36,2,232,MCTS_v0,-1.0,1.0,Random
-1693876026,Checkers,0,GAME_OVER,38,37,2,233,MCTS_v0,-1.0,1.0,Random
-1812849886,Checkers,0,GAME_OVER,37,36,2,234,MCTS_v0,-1.0,1.0,Random
-1650375663,Checkers,0,GAME_OVER,60,59,2,235,MCTS_v0,-1.0,1.0,Random
1372985835,Checkers,0,GAME_OVER,39,38,2,236,MCTS_v0,-1.0,1.0,Random
-1644275095,Checkers,0,GAME_OVER,38,37,2,237,MCTS_v0,-1.0,1.0,Random
1719698715,Checkers,0,GAME_OVER,46,45,2,238,MCTS_v0,-1.0,1.0,Random
-150356753,Checkers,0,GAME_OVER,48,47,2,239,MCTS_v0,-1.0,1.0,Random
2115692229,Checkers,0,GAME_OVER,40,39,2,240,MCTS_v0,-1.0,1.0,Random
-814560721,Checkers,0,GAME_OVER,37,36,2,241,MCTS_v0,-1.0,1.0,Random
-585444453,Checkers,0,GAME_OVER,43,42,2,242,MCTS_v0,-1.0,1.0,Random
-16236752,Checkers,0,GAME_OVER,43,42,2,243,MCTS_v0,-1.0,1.0,Random
-1034164578,Checkers,0,GAME_OVER,53,52,2,244,MCTS_v0,-1.0,1.0,Random
718066038,Checkers,0,GAME_OVER,46,45,2,245,MCTS_v0,-1.0,1.0,Random
-45548325,Checkers,0,GAME_OVER,37,36,2,246,MCTS_v0,-1.0,1.0,Random
430606631,Checkers,0,GAME_OVER,47,46,2,247,MCTS_v0,-1.0,1.0,Random
-56171220,Checkers,0,GAME_OVER,37,36,2,248,MCTS_v0,-1.0,1.0,Random
-1239141700,Checkers,0,GAME_OVER,48,47,2,249,MCTS_v0,-1.0,1.0,Random
1325411156,Checkers,0,GAME_OVER,39,38,2,250,MCTS_v0,-1.0,1.0,Random
411685344,Checkers,0,GAME_OVER,40,39,2,251,MCTS_v0,-1.0,1.0,Random
219572979,Checkers,0,GAME_OVER,47,46,2,252,MCTS_v0,-1.0,1.0,Random
324303717,Checkers,0,GAME_OVER,60,59,2,253,MCTS_v0,-1.0,1.0,Random
-825819607,Checkers,0,GAME_OVER,34,33,2,254,MCTS_v0,-1.0,1.0,Random
-384667004,Checkers,0,GAME_OVER,48,47,2,255,MCTS_v0,-1.0,1.0,Random
1286911191,Checkers,0,GAME_OVER,34,33,2,256,MCTS_v0,-1.0,1.0,Random
-1652595268,Checkers,0,GAME_OVER,36,35,2,257,MCTS_v0,-1.0,1.0,Random
1979243748,Checkers,0,GAME_OVER,42,41,2,258,MCTS_v0,-1.0,1.0,Random
1481785858,Checkers,0,GAME_OVER,39,38,2,259,MCTS_v0,-1.0,1.0,Random
98439411,Checkers,0,GAME_OVER,33,32,2,260,MCTS_v0,-1.0,1.0,Random
1975834423,Checkers,0,GAME_OVER,40,39,2,261,MCTS_v0,-1.0,1.0,Random
1379816037,Checkers,0,GAME_OVER,37,36,2,262,MCTS_v0,-1.0,1.0,Random
-1545697556,Checkers,0,GAME_OVER,45,44,2,263,MCTS_v0,-1.0,1.0,Random
1940632744,Checkers,0,GAME_OVER,41,40,2,264,MCTS_v0,-1.0,1.0,Random
-226099458,Checkers,0,GAME_OVER,45,44,2,265,MCTS_v0,-1.0,1.0,Random
-868506858,Checkers,0,GAME_OVER,49,48,2,266,MCTS_v0,-1.0,1.0,Random
-49503330,Checkers,0,GAME_OVER,59,58,2,267,MCTS_v0,-1.0,1.0,Random
1961713655,Checkers,0,GAME_OVER,40,39,2,268,MCTS_v0,-1.0,1.0,Random
-2049091410,Checkers,0,GAME_OVER,32,31,2,269,MCTS_v0,-1.0,1.0,Random
534123107,Checkers,0,GAME_OVER,43,42,2,270,MCTS_v0,-1.0,1.0,Random
-1715019612,Checkers,0,GAME_OVER,45,44,2,271,MCTS_v0,-1.0,1.0,Random
818504211,Checkers,0,GAME_OVER,33,32,2,272,MCTS_v0,-1.0,1.0,Random
709728089,Checkers,0,GAME_OVER,46,45,2,273,MCTS_v0,-1.0,1.0,Random
-377255063,Checkers,0,GAME_OVER,45,44,2,274,MCTS_v0,-1.0,1.0,Random
