GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player-1 rank,PlayerName-0,Player-1,Player-0,Player-0 rank,PlayerName-1
1385798216,Checkers,0,GAME_OVER,54,53,2,2,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
1477163396,Checkers,0,GAME_OVER,57,56,2,3,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
940975193,Checkers,0,GAME_OVER,91,90,2,4,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-2135356456,Checkers,0,GAME_OVER,49,48,2,5,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
712147891,Checkers,0,GAME_OVER,174,173,2,6,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-1829428648,Checkers,0,GAME_OVER,59,58,2,7,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-970208703,Checkers,0,GAME_OVER,72,71,2,8,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
561963551,Checkers,0,GAME_OVER,57,56,2,9,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-332452780,Checkers,0,GAME_OVER,47,46,2,10,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-1192676016,Checkers,0,GAME_OVER,53,52,2,11,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
1244625278,Checkers,0,GAME_OVER,143,142,2,12,1,MCTS_CheckersHeuristic,1,1,1,MCTS_CheckersHeuristic
-412550984,Checkers,0,GAME_OVER,51,50,2,13,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
1287140168,Checkers,0,GAME_OVER,78,77,2,14,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-739266938,Checkers,0,GAME_OVER,60,59,2,15,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
1863386510,Checkers,0,GAME_OVER,55,54,2,16,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
416678468,Checkers,0,GAME_OVER,51,50,2,17,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-884359798,Checkers,0,GAME_OVER,79,78,2,18,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
521120380,Checkers,0,GAME_OVER,63,62,2,19,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-1263208495,Checkers,0,GAME_OVER,45,44,2,20,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-2101391703,Checkers,0,GAME_OVER,56,55,2,21,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-858690867,Checkers,0,GAME_OVER,55,54,2,22,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-1565041565,Checkers,0,GAME_OVER,127,126,2,23,1,MCTS_CheckersHeuristic,1,1,1,MCTS_CheckersHeuristic
881738367,Checkers,0,GAME_OVER,48,47,2,24,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-706661135,Checkers,0,GAME_OVER,81,80,2,25,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-344570997,Checkers,0,GAME_OVER,44,43,2,26,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
66217114,Checkers,0,GAME_OVER,77,76,2,27,1,MCTS_CheckersHeuristic,1,2,2,MCTS_CheckersHeuristic
-416567589,Checkers,0,GAME_OVER,138,137,2,28,1,MCTS_CheckersHeuristic,1,1,1,MCTS_CheckersHeuristic
82163569,Checkers,0,GAME_OVER,52,51,2,29,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-412552099,Checkers,0,GAME_OVER,85,84,2,30,2,MCTS_CheckersHeuristic,2,1,1,MCTS_CheckersHeuristic
-1412396172,Checkers,0,GAME_OVER,133,132,2,31,1,MCTS_CheckersHeuristic,1,1,1,MCTS_CheckersHeuristic
