Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,36 (18.0%),121 (60.5%),43 (21.5%),200
MCTS,OSLA,138 (69.0%),29 (14.5%),33 (16.5%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,2 (1.0%),190 (95.0%),8 (4.0%),200
OSLA,OSLA,58 (29.0%),117 (58.5%),25 (12.5%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,63 (31.5%),137 (68.5%),0 (0.0%),200
Total,,697 (38.7%),994 (55.2%),109 (6.1%),1800
