Player 1,Player 2,Average Duration Player 1,Average Duration Player 2,Average Duration Draws,Average Duration Total
MCTS,MCTS,61.67,63.04,123.67,75.25
MCTS,OSLA,57.79,63.17,104.26,62.37
MCTS,Rand,38.94,0.0,0.0,38.94
OSLA,MCTS,49.17,61.1,122.12,65.27
OSLA,OSLA,59.78,53.19,109.6,68.81
OSLA,Rand,39.49,0.0,71.0,39.65
Rand,MCTS,0.0,39.25,0.0,39.25
Rand,OSLA,0.0,39.56,0.0,39.56
Rand,Rand,48.79,49.34,0.0,49.06
Total,,35.56,36.86,53.07,47.81
