Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,58 (29.0%),86 (43.0%),56 (28.0%),200
MCTS,OSLA,174 (87.0%),11 (5.5%),15 (7.5%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,6 (3.0%),178 (89.0%),16 (8.0%),200
OSLA,OSLA,85 (42.5%),79 (39.5%),36 (18.0%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),199 (99.5%),1 (0.5%),200
Rand,Rand,109 (54.5%),91 (45.5%),0 (0.0%),200
Total,,832 (46.2%),844 (46.9%),124 (6.9%),1800
