Player 1,Player 2,Total Pieces Left Player 1,Total Pieces Left Player 2,Total Pieces Left Draws,Average Total Pieces Left
MCTS,MCTS,4.31,4.4,3.88,4.22
MCTS,OSLA,5.2,7.55,5.2,5.33
MCTS,Rand,7.56,0.0,0.0,7.56
OSLA,MCTS,7.0,5.44,5.06,5.46
OSLA,OSLA,9.95,9.62,9.36,9.71
OSLA,Rand,8.7,0.0,0.0,8.7
Rand,MCTS,0.0,7.82,0.0,7.82
Rand,OSLA,0.0,8.93,7.0,8.93
Rand,Rand,4.67,5.53,0.0,5.06
Total,,4.74,4.93,3.05,6.28
