GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerType-1,PlayerType-0
843196589,Checkers,0,GAME_OVER,112,111,2,2,OSLA,OSLA
-1714778635,Checkers,0,GAME_OVER,53,52,2,3,OSLA,OSLA
1887257677,Checkers,0,GAME_OVER,60,59,2,4,OSLA,OSLA
101537896,Checkers,0,GAME_OVER,41,40,2,5,OSLA,OSLA
-1544959750,Checkers,0,GAME_OVER,42,41,2,6,OSLA,OSLA
-642588451,Checkers,0,GAME_OVER,105,104,2,7,OSLA,OSLA
-593088629,Checkers,0,GAME_OVER,40,39,2,8,OSLA,OSLA
-1407804484,Checkers,0,GAME_OVER,47,46,2,9,OSLA,OSLA
-16898516,Checkers,0,GAME_OVER,42,41,2,10,OSLA,OSLA
-406234874,Checkers,0,GAME_OVER,78,77,2,11,OSLA,OSLA
-558036193,Checkers,0,GAME_OVER,91,90,2,12,OSLA,OSLA
771479558,Checkers,0,GAME_OVER,123,122,2,13,OSLA,OSLA
1654239727,Checkers,0,GAME_OVER,59,58,2,14,OSLA,OSLA
-153722822,Checkers,0,GAME_OVER,44,43,2,15,OSLA,OSLA
-909469703,Checkers,0,GAME_OVER,56,55,2,16,OSLA,OSLA
2057025704,Checkers,0,GAME_OVER,46,45,2,17,OSLA,OSLA
-966234571,Checkers,0,GAME_OVER,39,38,2,18,OSLA,OSLA
4562671,Checkers,0,GAME_OVER,80,79,2,19,OSLA,OSLA
279355798,Checkers,0,GAME_OVER,47,46,2,20,OSLA,OSLA
-917208624,Checkers,0,GAME_OVER,51,50,2,21,OSLA,OSLA
564338830,Checkers,0,GAME_OVER,160,159,2,22,OSLA,OSLA
916999952,Checkers,0,GAME_OVER,138,137,2,23,OSLA,OSLA
1652642671,Checkers,0,GAME_OVER,48,47,2,24,OSLA,OSLA
-2110543143,Checkers,0,GAME_OVER,42,41,2,25,OSLA,OSLA
406447804,Checkers,0,GAME_OVER,39,38,2,26,OSLA,OSLA
1388541699,Checkers,0,GAME_OVER,65,64,2,27,OSLA,OSLA
581431730,Checkers,0,GAME_OVER,47,46,2,28,OSLA,OSLA
1486502642,Checkers,0,GAME_OVER,116,115,2,29,OSLA,OSLA
-1657077626,Checkers,0,GAME_OVER,42,41,2,30,OSLA,OSLA
-99069721,Checkers,0,GAME_OVER,69,68,2,31,OSLA,OSLA
-938481356,Checkers,0,GAME_OVER,114,113,2,32,OSLA,OSLA
918014973,Checkers,0,GAME_OVER,98,97,2,33,OSLA,OSLA
486269644,Checkers,0,GAME_OVER,75,74,2,34,OSLA,OSLA
-2013961699,Checkers,0,GAME_OVER,49,48,2,35,OSLA,OSLA
-93427035,Checkers,0,GAME_OVER,79,78,2,36,OSLA,OSLA
33052600,Checkers,0,GAME_OVER,42,41,2,37,OSLA,OSLA
458745819,Checkers,0,GAME_OVER,43,42,2,38,OSLA,OSLA
637732618,Checkers,0,GAME_OVER,96,95,2,39,OSLA,OSLA
475137284,Checkers,0,GAME_OVER,42,41,2,40,OSLA,OSLA
1671377698,Checkers,0,GAME_OVER,51,50,2,41,OSLA,OSLA
1404645634,Checkers,0,GAME_OVER,52,51,2,42,OSLA,OSLA
-1222215910,Checkers,0,GAME_OVER,37,36,2,43,OSLA,OSLA
1863775061,Checkers,0,GAME_OVER,51,50,2,44,OSLA,OSLA
1334565911,Checkers,0,GAME_OVER,62,61,2,45,OSLA,OSLA
-1227518619,Checkers,0,GAME_OVER,106,105,2,46,OSLA,OSLA
1002603783,Checkers,0,GAME_OVER,49,48,2,47,OSLA,OSLA
635834769,Checkers,0,GAME_OVER,42,41,2,48,OSLA,OSLA
-1815380675,Checkers,0,GAME_OVER,73,72,2,49,OSLA,OSLA
-1772979696,Checkers,0,GAME_OVER,53,52,2,50,OSLA,OSLA
688758618,Checkers,0,GAME_OVER,114,113,2,51,OSLA,OSLA
-881218338,Checkers,0,GAME_OVER,45,44,2,52,OSLA,OSLA
140790819,Checkers,0,GAME_OVER,79,78,2,53,OSLA,OSLA
-1239380145,Checkers,0,GAME_OVER,73,72,2,54,OSLA,OSLA
