Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,37 (33.3%),47 (42.3%),27 (24.3%),111
MCTS,OSLA,96 (86.5%),8 (7.2%),7 (6.3%),111
MCTS,Rand,111 (100.0%),0 (0.0%),0 (0.0%),111
OSLA,MCTS,9 (8.1%),94 (84.7%),8 (7.2%),111
OSLA,OSLA,53 (47.7%),38 (34.2%),20 (18.0%),111
OSLA,Rand,111 (100.0%),0 (0.0%),0 (0.0%),111
Rand,MCTS,0 (0.0%),111 (100.0%),0 (0.0%),111
Rand,OSLA,0 (0.0%),111 (100.0%),0 (0.0%),111
Rand,Rand,60 (54.1%),51 (45.9%),0 (0.0%),111
Total,,477 (47.7%),460 (46.0%),62 (6.2%),999
