Player 1,Player 2,Average Duration Player 1,Average Duration Player 2,Average Duration Draws,Average Duration Total
MCTS,MCTS,68.15,65.96,134.18,85.87
MCTS,OSLA,70.17,59.03,113.64,76.1
MCTS,Rand,43.07,0.0,0.0,43.07
OSLA,MCTS,64.33,61.8,127.25,67.22
OSLA,OSLA,54.88,54.42,107.9,62.37
OSLA,Rand,42.08,0.0,0.0,42.08
Rand,MCTS,0.0,43.69,0.0,43.69
Rand,OSLA,0.0,42.98,0.0,42.98
Rand,Rand,54.54,53.02,0.0,53.8
Total,,39.72,38.09,48.3,51.72
