Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,74 (37.0%),70 (35.0%),56 (28.0%),200
MCTS,OSLA,130 (65.0%),34 (17.0%),36 (18.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,15 (7.5%),169 (84.5%),16 (8.0%),200
OSLA,OSLA,85 (42.5%),86 (43.0%),29 (14.5%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,103 (51.5%),97 (48.5%),0 (0.0%),200
Total,,807 (44.8%),856 (47.6%),137 (7.6%),1800
