Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,20,33,58,111
MCTS,OSLA,103,1,7,111
MCTS,Rand,111,0,0,111
OSLA,MCTS,1,95,15,111
OSLA,OSLA,23,76,12,111
OSLA,Rand,110,1,0,111
Rand,MCTS,0,111,0,111
Rand,OSLA,0,111,0,111
Rand,Rand,54,57,0,111
